#,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA,RD
1,Arizona Diamondbacks,1998,2023,4100,1994,2106,.486,-112,5,1,1,6,594,2,18579,139928,35623,4328,.255,18969,4.27,-15.600000
2,Atlanta Braves,1876,2023,22044,11018,10872,.503,146,22,18,4,28,2105,54,98549,754806,196139,14776,.260,97145,3.67,9.551020
3,Baltimore Orioles,1901,2023,19141,9023,10008,.474,-985,9,7,3,14,1956,34,82603,650194,167889,14141,.258,88071,4.05,-44.819672
4,Boston Red Sox,1901,2023,19129,9871,9175,.518,696,10,14,9,25,1919,38,89362,654681,174818,14343,.267,85768,3.92,29.459016
5,Chicago Cubs,1876,2023,22082,11240,10681,.513,559,8,17,3,21,2224,46,101638,755753,198046,15000,.262,98177,3.69,23.544218
6,Chicago White Sox,1901,2023,19137,9550,9484,.502,66,6,6,3,11,1862,34,83395,648198,168590,12109,.260,83157,3.79,1.950820
7,Cincinnati Reds,1882,2023,21668,10854,10675,.504,179,10,10,5,16,2139,37,97234,738493,192586,14077,.261,96510,3.77,5.134752
8,Cleveland Guardians,1901,2023,19141,9756,9294,.512,462,11,6,2,16,1984,35,86585,652653,172963,13675,.265,84417,3.83,17.770492
9,Colorado Rockies,1993,2023,4847,2257,2590,.466,-333,0,1,0,5,653,1,24184,166634,45260,5489,.272,25663,5.00,49.300000
10,Detroit Tigers,1901,2023,19163,9582,9488,.502,94,7,11,4,16,1784,24,88025,653616,172864,14348,.264,87862,4.00,1.336066
11,Houston Astros,1962,2023,9808,4915,4888,.501,27,12,5,2,16,975,10,41786,332818,84816,8180,.255,41182,3.80,9.901639
12,Kansas City Royals,1969,2023,8661,4116,4543,.475,-427,8,4,2,9,986,4,37891,296413,77954,6790,.263,40139,4.27,-41.629630
13,Los Angeles Angels,1961,2023,9966,4953,5010,.497,-57,9,1,1,10,1203,12,43202,338311,86755,8971,.256,43696,4.00,-7.967742
14,Los Angeles Dodgers,1884,2023,21465,11327,9999,.531,1328,20,25,7,36,1942,52,96750,731386,191109,13809,.261,90739,3.52,43.244604
15,Miami Marlins,1993,2023,4840,2236,2604,.462,-368,0,2,2,3,716,5,20423,164505,41976,4405,.255,22358,4.28,-64.500000
16,Milwaukee Brewers,1969,2023,8669,4208,4457,.486,-249,5,1,0,8,1018,7,38472,294331,75439,8476,.256,39445,4.15,-18.018519
17,Minnesota Twins,1901,2023,19151,9170,9872,.482,-702,12,6,3,17,1802,28,84176,653395,171461,11772,.262,87462,3.99,-26.934426
18,New York Mets,1962,2023,9799,4722,5069,.482,-347,6,5,2,10,1217,16,40305,331541,82878,8301,.250,41211,3.80,-14.852459
19,New York Yankees,1903,2023,18841,10678,8075,.569,2603,20,40,27,58,1780,47,91506,642259,170616,16993,.266,78598,3.65,107.566667
20,Oakland Athletics,1901,2023,19102,9256,9759,.487,-503,17,15,9,29,2084,41,84418,647536,166829,13874,.258,87295,4.00,-23.581967
21,Philadelphia Phillies,1883,2023,21475,10104,11256,.473,-1152,12,8,2,15,2176,37,95276,734835,191381,13928,.260,101143,3.99,-41.907143
22,Pittsburgh Pirates,1882,2023,21625,10757,10728,.501,29,9,9,5,17,2121,40,96292,740837,195209,12047,.263,96424,3.75,-0.936170
23,San Diego Padres,1969,2023,8674,4026,4646,.464,-620,5,2,0,7,1131,13,35044,293197,73020,7021,.249,38029,3.97,-55.277778
24,San Francisco Giants,1883,2023,21550,11458,9929,.536,1529,9,23,8,27,1920,57,99741,735646,193714,15350,.263,92266,3.58,53.392857
25,Seattle Mariners,1977,2023,7378,3509,3867,.476,-358,3,0,0,5,985,6,32800,251899,64942,7467,.258,34525,4.31,-37.500000
26,St. Louis Cardinals,1882,2023,21666,11198,10316,.520,882,15,23,11,32,2203,50,99405,742770,197433,12949,.266,95388,3.69,28.489362
27,Tampa Bay Rays,1998,2023,4098,2005,2093,.489,-88,4,2,0,8,593,2,18323,139439,35509,4292,.255,18733,4.24,-16.400000
28,Texas Rangers,1961,2023,9953,4733,5214,.476,-481,7,2,0,8,1237,9,44872,339926,87842,9949,.258,46913,4.29,-32.919355
29,Toronto Blue Jays,1977,2023,7379,3682,3694,.499,-12,6,2,2,9,912,10,34208,252976,65913,8047,.261,33759,4.22,9.760870
30,Washington Nationals,1969,2023,8666,4190,4472,.484,-282,5,1,1,6,1041,10,36306,293212,74468,7409,.254,37627,3.94,-24.462963
